id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2318,"Casa Madrona - Urban Oasis, 1 block from the Park!",2536,Megan,Central Area,Madrona,47.610819276291444,-122.29081600224306,Entire home/apt,296,4,16,2018-04-22,0.14,2,289
4291,Sunrise in Seattle Master Suite,35749,Jess & Joey,Other neighborhoods,Roosevelt,47.68780100864706,-122.31342727386499,Private room,82,2,54,2017-08-27,0.91,5,312
5682,"Cozy Studio, min. to downtown -WiFi",8993,Maddy,Delridge,South Delridge,47.52397950434662,-122.35989059909596,Entire home/apt,48,3,428,2018-04-28,4.31,1,157
6606,"Fab, private seattle urban cottage!",14942,Joyce,Other neighborhoods,Wallingford,47.6541086069472,-122.33760528816453,Entire home/apt,90,2,110,2018-05-06,1.02,3,325
9419,Glorious sun room w/ memory foambed,30559,Angielena,Other neighborhoods,Georgetown,47.5506196980812,-122.32013541411905,Private room,70,2,120,2018-04-30,1.26,5,349
9460,Downtown/Convention Ctr B&B - Nice!,30832,Siena,Downtown,First Hill,47.608009981918165,-122.32873866995098,Private room,80,3,366,2018-05-14,3.45,4,203
9531,The Adorable Sweet Orange Craftsman,31481,Cassie,West Seattle,Fairmount Park,47.555389255794196,-122.38473862707006,Entire home/apt,165,3,34,2017-09-13,0.44,2,262
9534,The Coolest Tangerine Dream MIL! ,31481,Cassie,West Seattle,Fairmount Park,47.55623565364458,-122.38598050615109,Entire home/apt,125,2,32,2017-01-16,0.41,2,236
9596,"the down home , spacious, central and fab!",14942,Joyce,Other neighborhoods,Wallingford,47.654787431000194,-122.33651988462253,Entire home/apt,120,2,61,2017-10-01,0.72,3,129
9909,Luna Park Lower - West Seattle,33360,Laura,West Seattle,Fairmount Park,47.56520912747711,-122.37374751683319,Entire home/apt,125,2,48,2018-01-01,0.46,7,30
10209,Stay here for a blast!!!!,31553,Mike & Cassandra,Delridge,High Point,47.55364568574284,-122.36325732522702,Private room,48,5,35,2018-04-01,0.34,4,279
10385,Upscale Seattle Hotel Alternative ,35749,Jess & Joey,Northgate,Maple Leaf,47.69571857927814,-122.3119439187342,Private room,60,2,89,2017-11-07,0.85,5,310
10695,Private 2 Rooms & 1 Bath ,35749,Jess & Joey,Northgate,Maple Leaf,47.6972009725803,-122.31348102897086,Private room,109,2,19,2017-07-23,0.20,5,309
11012,"the orange house, quiet 'n central ",14942,Joyce,Other neighborhoods,Wallingford,47.654476789922704,-122.33646426288396,Entire home/apt,299,2,70,2017-09-15,0.69,3,77
11411,Hotel Room & Bath Alternative,35749,Jess & Joey,Northgate,Maple Leaf,47.6957369530758,-122.31316340795988,Private room,60,2,63,2018-03-23,0.63,5,312
14386,Quiet Cozy Upstairs BR Green Lake,39377,Bob,Other neighborhoods,Green Lake,47.68724567609187,-122.33469570235958,Private room,40,1,111,2018-04-22,1.17,3,192
15108,Green Lake Private Ground Floor BR,39377,Bob,Other neighborhoods,Green Lake,47.688265547431456,-122.33585552400167,Private room,60,1,64,2018-04-28,0.77,3,275
15749,Artsy Green Lake Guest Room with Active Family,61636,Angela,Other neighborhoods,Green Lake,47.68407227844439,-122.32648843212662,Private room,91,7,15,2018-03-31,0.19,1,259
17229,Stay here for a blast 2,31553,Mike & Cassandra,Delridge,High Point,47.551617689454254,-122.36443080859497,Private room,40,5,19,2018-04-24,0.23,4,271
17951,"West Seattle, The Starlight Studio",33360,Laura,West Seattle,Fairmount Park,47.55538173399459,-122.38622263103159,Entire home/apt,105,2,68,2018-04-29,0.70,7,301
19611,★Spring in Belltown-Walk Everywhere★Open 5/2-5/4,74305,Seattle Oasis,Downtown,Belltown,47.61561134846152,-122.34592672734446,Entire home/apt,85,2,70,2018-05-06,0.71,44,28
19619,★Amazing Puget Sound Views★Open 4/23-27,74305,Seattle Oasis,Downtown,Belltown,47.61361553464316,-122.34705781490611,Entire home/apt,145,2,65,2018-05-12,0.69,44,80
19623,★Downtown Oasis-Sleeps 5-FreeParking★Open 4/23-25,74305,Seattle Oasis,Downtown,Belltown,47.61642985861803,-122.34634406779092,Entire home/apt,165,2,104,2018-05-14,1.05,44,87
20868,"Newly Remodeled ""Boho Modern"" in Mapleleaf",35749,Jess & Joey,Northgate,Maple Leaf,47.6953856704553,-122.31307494755681,Entire home/apt,199,2,113,2017-10-15,1.17,5,284
20927,Cottage in the Heart of Ballard,79450,Brad & Liz,Ballard,Adams,47.67333938829472,-122.39512028203794,Entire home/apt,89,2,428,2018-05-04,4.47,2,77
20928,Victorian in the Heart of Ballard,79450,Brad & Liz,Ballard,Adams,47.67360709682782,-122.39380285936103,Entire home/apt,79,2,213,2018-05-12,5.94,2,80
23192,Large Modern Unit - 3 blocks from the light-rail,90437,Ian,Capitol Hill,Broadway,47.622366024993305,-122.31591800037413,Entire home/apt,99,3,79,2018-05-13,1.31,4,300
23356,3bd 2bt great bargain  sleep 8-10,91286,Tonyhai,Beacon Hill,Holly Park,47.534188402884425,-122.28139323445038,Entire home/apt,189,3,15,2017-09-04,0.17,1,312
23430,"✦Romantic getaway, close to sights✦ MAY 2-4",74305,Seattle Oasis,Downtown,Belltown,47.614196071262995,-122.34445768627762,Entire home/apt,107,1,65,2018-05-15,0.68,44,115
24212,SALE 5/11-18★Awesome Getaway w/ Views★,74305,Seattle Oasis,Downtown,Belltown,47.61539626635263,-122.34866374592198,Entire home/apt,157,1,64,2018-05-04,0.70,44,105
25002,"Beautiful, Private Spot in Quiet Ballard",102684,Amanda,Ballard,Whittier Heights,47.67941168994686,-122.3705396261051,Entire home/apt,75,2,632,2018-05-07,6.43,1,88
26116,2-bedroom Capitol Hill - LightRail,110248,Jamilah,Capitol Hill,Broadway,47.61742597866284,-122.32675627170121,Entire home/apt,259,2,143,2016-09-24,1.53,1,135
26795,Lake Union Cottage - Shore and Cityview,114228,Kelly,Cascade,Eastlake,47.63952607557886,-122.32837874221386,Entire home/apt,185,30,58,2017-09-05,0.61,1,302
30712,Cozy Ballard Apartment,107605,Al,Ballard,Loyal Heights,47.67890136088437,-122.38186327462999,Entire home/apt,75,4,79,2017-06-19,0.82,1,294
37234,Your Home Away From Home.  Private Parking onsite.,160789,Darrell,Ballard,Loyal Heights,47.68804807506789,-122.39230999944377,Entire home/apt,85,3,2,2017-06-04,0.11,2,303
38545,"3br,modern,fireplace,chef kitchen. no car needed!",165390,Seth,Other neighborhoods,Wallingford,47.65263063691207,-122.34221714449508,Entire home/apt,225,3,86,2018-03-24,0.94,7,36
41401,Home Away From Home - MIL Suite    ,180441,Pina,Beacon Hill,Mid-Beacon Hill,47.56034897677932,-122.31402319056403,Entire home/apt,95,10,28,2017-05-06,0.30,1,228
47491,Tranquil Rooms at Maple Creek House,215230,Carol,Other neighborhoods,Wedgwood,47.69246459555626,-122.28688376888938,Private room,60,3,42,2018-03-27,0.45,4,91
48848,green suite seattle - dog friendly,212404,Piper + Kent,Other neighborhoods,Windermere,47.671587043300455,-122.25994740399302,Entire home/apt,110,2,35,2018-05-16,0.38,1,229
50233,Highly Desirable 2-bdrm BAMBOO Suite!,230140,Marie,West Seattle,Genesee,47.56642870956144,-122.38084221302333,Entire home/apt,180,1,29,2018-03-12,0.35,2,136
52525,Maple Creek House in Wedgwood,215230,Carol,Other neighborhoods,Wedgwood,47.692701184421885,-122.28547904161472,Private room,50,3,27,2016-06-30,0.29,4,277
58503,Spacious Private Daylight Basement,157262,Visala,Other neighborhoods,Phinney Ridge,47.67946703769805,-122.35660008151442,Entire home/apt,70,2,183,2018-05-08,4.13,1,256
59827,★Couple Retreat-Walk to Sights★ Open 4/29-5/2,74305,Seattle Oasis,Downtown,Belltown,47.616273890892515,-122.34412623197156,Entire home/apt,96,2,35,2018-03-27,0.39,44,120
59838,2BD Modern Oasis-Sleeps5-FreeParking-Open 5/1-3,74305,Seattle Oasis,Downtown,Belltown,47.61418994451972,-122.34495731476815,Entire home/apt,147,1,158,2018-05-12,1.75,44,81
63733,Seattle- Ballard Guestsuite -,311363,Irmgard,Ballard,West Woodland,47.67171434029387,-122.36588759794856,Entire home/apt,76,3,194,2018-05-14,2.25,1,262
66540,Large Tranquil Room in Wedgwood,215230,Carol,Other neighborhoods,Wedgwood,47.6942077242851,-122.2862491662176,Private room,50,3,22,2017-09-10,0.25,4,118
66611,Study Den in Tranquil Setting,215230,Carol,Other neighborhoods,Wedgwood,47.69281514920636,-122.28533646705196,Private room,50,3,24,2018-04-17,0.27,4,243
67270,"Light and airy, steps to the Lake.",331573,Jean,Seward Park,Seward Park,47.56168142907604,-122.27212282797501,Private room,70,2,176,2017-10-19,2.01,1,348
76565,Quiet Room in West Seattle,232785,Aviva,Delridge,Riverview,47.54700198147044,-122.35444065559413,Private room,46,2,4,2018-02-28,0.05,2,78
77149,Central quiet Capitol Hill condo,412854,Goldie,Capitol Hill,Broadway,47.62585161534369,-122.32004132342662,Entire home/apt,110,5,15,2016-09-24,0.17,1,0
81085,2Bdr Seattle Apt in Victorian Home,439177,Julie,University District,University District,47.66989652878111,-122.3107612676391,Entire home/apt,47,3,9,2018-03-29,0.19,1,49
86185,West Seattle: Admiral calm & quiet,192355,Jane,West Seattle,North Admiral,47.582391547994945,-122.39447761315975,Private room,75,2,51,2017-09-26,0.60,1,355
92835,"Charming Apt, VERY Central Location",391714,Lauren,Downtown,Central Business District,47.60593225354328,-122.33083231531664,Entire home/apt,157,1,566,2018-05-01,6.66,2,133
103908,Green Lake Gem - Walk to Lake,541406,Trung,Other neighborhoods,Green Lake,47.68427307787124,-122.32661592202152,Entire home/apt,150,3,14,2018-04-13,0.19,2,320
103920,Green Lake Spacious Two Bedrooms - Walk to Lake!,541406,Trung,Other neighborhoods,Green Lake,47.68415690977499,-122.32597215420334,Entire home/apt,250,2,14,2018-04-08,0.20,2,336
107962,Haller Lake Restored Log Cabin,112093,Roberta & Dan,Northgate,Haller Lake,47.71488519176861,-122.33296364958791,Entire home/apt,120,2,206,2018-05-11,2.45,1,39
108765,Beacon Hill Cottage in the City,541908,Mary,Beacon Hill,Mid-Beacon Hill,47.552566318751964,-122.30434964427232,Entire home/apt,130,2,55,2018-05-06,0.65,1,263
116221,"Modern, Light-Filled Fremont Flat",587302,Danni,Other neighborhoods,Fremont,47.65437101931993,-122.35745378318667,Entire home/apt,135,30,33,2018-05-03,0.39,1,253
117165,Suite+Office in Gorgeous View Home,559827,Judith,West Seattle,Alki,47.56873922591498,-122.4064875075231,Private room,110,2,118,2017-10-24,1.43,2,312
119103,Teeny Tiny Guestyhouse!,601600,Hal,Other neighborhoods,Fremont,47.65230910712298,-122.35000452472038,Entire home/apt,79,3,320,2018-05-14,3.79,2,294
132120,Mother-in-Law Apartment in Seattle,378445,Ralph,Other neighborhoods,Wallingford,47.669227809393654,-122.3351737225184,Entire home/apt,110,2,78,2018-05-06,0.93,1,248
132160,"Green Lake Guest Suite, private apt",558743,Natalie,Other neighborhoods,Green Lake,47.682260605449805,-122.34344999894368,Entire home/apt,150,3,212,2018-05-10,2.57,2,131
134091,Vintage Capitol Hill - 1 Pkg Spot,658155,Joe,Capitol Hill,Broadway,47.621420958467944,-122.31641953071114,Entire home/apt,170,3,121,2018-05-14,1.48,16,49
136480,Bright Cheery Room in Seattle House,539515,Shari,Seward Park,Seward Park,47.55508435448713,-122.26455326154438,Private room,65,2,51,2017-09-12,0.86,2,310
138666,Main floor of comfy craftsman home,672972,Sara,Central Area,Leschi,47.59222705829098,-122.29505762038683,Entire home/apt,125,2,72,2017-09-22,1.41,2,17
140331,Metrobilly Retreat,683617,Jana,Central Area,Harrison/Denny-Blaine,47.61893903258519,-122.29212341783386,Private room,75,1,130,2018-01-04,1.55,1,267
143580,N. Beacon Hill- Super Private Room,594315,Jana,Beacon Hill,North Beacon Hill,47.583786700916974,-122.31676967675524,Private room,89,2,311,2018-05-07,3.70,1,276
143704,"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",696788,Julie,Central Area,Mann,47.61231304498604,-122.2982521554196,Entire home/apt,92,3,303,2018-05-14,9.95,1,206
151545,Charming 2BR/2B with WaterViews on Portage Bay!,306615,Tara,Capitol Hill,Portage Bay,47.650084722324635,-122.31931451132105,Entire home/apt,180,3,11,2017-11-06,0.13,3,277
153967,Cottage in West Seattle,205412,Meg,West Seattle,Fairmount Park,47.55594365831243,-122.37994744796248,Entire home/apt,9300,1,64,2016-11-21,0.77,1,0
158345,Restful Room in W. Ballard-NO cleaning fee!,759949,Marcia,Ballard,Sunset Hill,47.66992137736428,-122.40146384791753,Private room,55,2,374,2018-04-28,4.52,1,277
160222,Apt on Lake Union $99/night in Heart of City,767899,Amy,Queen Anne,East Queen Anne,47.64034606220687,-122.34208824893022,Entire home/apt,110,3,83,2018-05-11,1.00,1,135
170273,4BR Historic Home at Seattle Center,804996,Nadine,Queen Anne,Lower Queen Anne,47.62767351934829,-122.3586108085457,Entire home/apt,650,2,166,2018-05-07,2.00,1,325
170469,Private Bed & Bath in Ballard,756099,Carie,Ballard,Whittier Heights,47.678605473019395,-122.37404563655285,Private room,80,2,68,2018-05-02,2.36,1,153
173896,Cozy in Ballard: Detached Bedroom en Suite,830508,Doug And Lori,Ballard,Sunset Hill,47.67234522076338,-122.39892000802274,Private room,75,2,234,2018-05-13,2.83,1,338
174636,"2 Rooms available, view of the lake",834328,Michelle,Rainier Valley,Rainier Beach,47.51145719576402,-122.25608099593698,Private room,88,1,36,2016-09-05,0.44,1,282
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,Queen Anne,West Queen Anne,47.63548170841016,-122.35847776162176,Entire home/apt,105,3,256,2018-01-01,3.08,1,73
181891,Ballard Gem!,871668,Andrea,Ballard,Adams,47.6701903492885,-122.38756405572067,Entire home/apt,275,3,0,,,1,291
182716,Cute House - 1 mile from UW; blocks to Greenlake,181621,Barbara,Other neighborhoods,Wallingford,47.66667110358891,-122.33260174961887,Entire home/apt,125,2,105,2018-02-26,1.27,1,1
186328,"Beautiful Update Craftsman 3BR, 3BA",895223,Andrew,Queen Anne,North Queen Anne,47.644130860591716,-122.35629916528968,Entire home/apt,250,3,1,2013-11-08,0.02,1,0
189156,Sweet Studio -Water & Mountain view,179030,Harriet,West Seattle,Seaview,47.54543065329513,-122.39783727124518,Entire home/apt,69,2,222,2018-05-13,2.72,1,134
190984,Home in Hillman City - large studio & free parking,923095,Denise,Rainier Valley,Columbia City,47.55284232273945,-122.2778935707404,Entire home/apt,80,2,126,2018-05-05,2.58,2,85
192666,"Classy,Private, Comfy! W Seattle-A Place To Relax!",933468,Vidya,West Seattle,North Admiral,47.58215996780924,-122.39387152484903,Private room,59,1,59,2018-04-01,2.24,2,97
193836,Spacious Studio Near Lincoln Park in West Seattle,583579,Amy And Nathan,West Seattle,Gatewood,47.5357006475623,-122.38631240820723,Entire home/apt,89,1,136,2018-04-22,1.65,1,310
201634,Blocks from LakeUnion/Downtown View,986311,Kevin,Cascade,Eastlake,47.63907850650758,-122.32540850243302,Private room,125,1,71,2015-04-18,0.88,1,358
202251,Seattle Phinney Ridge Ballard,601266,Tim And Pam,Other neighborhoods,Phinney Ridge,47.67770465236915,-122.35983885212654,Entire home/apt,275,30,20,2018-01-08,0.43,1,321
202260,Cozy Seattle Apartment Near UW & Children's,990195,Kerry,Other neighborhoods,View Ridge,47.680037571453326,-122.28398342775688,Entire home/apt,99,30,143,2016-08-01,1.75,1,0
208356,contemporary art loft downtown [7],1025723,Dirk & Jaq,Downtown,International District,47.59908074853163,-122.32559126162168,Private room,99,5,689,2018-05-11,8.45,3,20
208670,2BR/1BA Quiet Capitol Hill Bungalow w/Loft,1022302,David,Capitol Hill,Broadway,47.621627391991474,-122.3169293075834,Entire home/apt,212,2,131,2017-08-31,1.72,1,0
210316,"""THE 5-STAR HOUSE""",2438665,Flor,Other neighborhoods,Crown Hill,47.69989837304277,-122.366141804709,Private room,80,2,59,2017-10-04,1.23,4,286
215882,Relaxing Garden Cottage w/ Hot Tub!,971336,Julie,Rainier Valley,Columbia City,47.561297038408405,-122.28121860707182,Entire home/apt,84,2,308,2018-05-05,3.87,1,61
217142,LOCATION! Family SPACIOUS 2BD/2BA PRKG FREE WiFi,8243075,Autumn,Downtown,Belltown,47.61533864521228,-122.3479052929908,Entire home/apt,200,2,117,2018-05-06,1.46,4,250
218741,"Private, Large Room+Bath in Ballard",468703,Corinne & Tom,Ballard,Loyal Heights,47.682309277976834,-122.37874966188296,Private room,90,1,130,2017-09-24,1.81,2,163
219532,"Fun home in Funky Fremont, Seattle",1037115,Rose And Glen,Other neighborhoods,Fremont,47.65692476652087,-122.36093488228843,Entire home/apt,285,3,63,2017-09-19,0.86,6,125
222885,Gluten Free on Phinney Ridge,72845,Judith,Other neighborhoods,Phinney Ridge,47.675746783915834,-122.35738908281179,Private room,75,2,28,2017-11-05,0.35,2,138
224763,"Location! Sleeps 4 WiFi  Luxurious, Parking Inc!",8243075,Autumn,Downtown,Belltown,47.61386020183852,-122.34878733911823,Entire home/apt,149,1,72,2018-05-09,0.94,4,297
225820,Family Friendly on Phinney Ridge,72845,Judith,Other neighborhoods,Phinney Ridge,47.67780944171627,-122.35862131985003,Private room,90,2,69,2018-05-06,1.11,2,130
226495,"Fun apartment in Ballard, Seattle",1037115,Rose And Glen,Ballard,Whittier Heights,47.68966108455991,-122.36839417847025,Entire home/apt,170,3,72,2017-08-27,0.98,6,137
226536,Serene Room in Sunny Cottage near Discovery Park,209571,Cheryl,Magnolia,Lawton Park,47.661197336598235,-122.40144552294248,Private room,46,1,116,2018-05-14,1.46,2,313
226677,Sunny Parisian beauty room w/ comfy bed,30559,Angielena,Other neighborhoods,Georgetown,47.54969070926658,-122.31867911342043,Private room,55,2,101,2018-04-22,1.27,5,335
227636,Large Ballard/Fremont apartment,1187351,Michael,Ballard,West Woodland,47.66807053413411,-122.36208615998129,Entire home/apt,120,2,184,2018-05-08,2.32,1,82
231097,Peaceful NE Seattle guest room,990692,Paul,Lake City,Matthews Beach,47.70638974062461,-122.28074562168605,Private room,54,3,132,2018-04-06,1.64,1,351
233502,West Seattle room with private bath,1215564,Danielle,West Seattle,North Admiral,47.57326555829689,-122.37436117067985,Private room,60,1,1,2012-06-06,0.01,1,128
234898,Modern Apartment near 45th St & UW,1230087,Megan,Other neighborhoods,Wallingford,47.66230982225841,-122.3268488016782,Entire home/apt,82,2,104,2018-04-29,1.32,2,24
241016,Scandinavian Queen Anne Home,956883,Maija,Queen Anne,North Queen Anne,47.643286242768724,-122.37581862242078,Entire home/apt,125,2,59,2018-04-18,1.09,2,284
243885,Charming Urban Garden Bungalow,1279637,Melody And Justin,Other neighborhoods,Wallingford,47.67057941089157,-122.32363251842308,Entire home/apt,125,3,3,2017-06-25,0.04,1,9
251922,"Sleepy North Admiral, West Seattle",512084,Edwin,West Seattle,North Admiral,47.58143267810479,-122.3941090278362,Entire home/apt,83,2,188,2018-05-03,2.37,1,287
254340,Phinney Oasis-Ballard/Phinney,1336214,Kim,Other neighborhoods,Phinney Ridge,47.67716562002255,-122.36169283150076,Entire home/apt,75,3,132,2017-11-25,1.69,1,318
257140,★Belltown near Space Needle & Market★Open 4/23-26,74305,Seattle Oasis,Downtown,Belltown,47.61602298054833,-122.34449163794338,Entire home/apt,131,1,71,2018-04-19,0.89,44,122
260613,Modern & New MIL Apt. in N. Ballard,1387754,Monika,Ballard,Whittier Heights,47.686489527587256,-122.36846188385235,Entire home/apt,100,1,44,2018-05-07,0.58,1,278
261912,"Storybook Tudor, house at GreenLake",558743,Natalie,Other neighborhoods,Green Lake,47.68378067083367,-122.34201281887877,Entire home/apt,200,3,29,2016-05-31,0.39,2,7
264829,2bed Rm Inner City Suite Near Dwtn,862329,Prez & 'Keia,Beacon Hill,North Beacon Hill,47.575290972156935,-122.30204873393409,Entire home/apt,175,1,44,2017-08-26,0.56,7,330
270370,"NorthBeach, fantastic water view",1309213,Audrey&Benoit,Other neighborhoods,North Beach/Blue Ridge,47.69818119433137,-122.38710132957083,Entire home/apt,195,2,0,,,1,0
271509,★Harbor&City Views w/Parking★Open 5/1-5/4,74305,Seattle Oasis,Downtown,Belltown,47.615775348227885,-122.34871858409774,Entire home/apt,175,2,48,2018-05-06,1.17,44,113
277416,Near Space Needle! Sunny 1 bd/1 ba WiFi CLEAN Prkg,8243075,Autumn,Downtown,Belltown,47.61607469425918,-122.3466774770061,Entire home/apt,149,2,80,2018-05-09,1.02,4,266
278830,Charming Craftsman house,1452570,Emily,Queen Anne,West Queen Anne,47.63291840276724,-122.37247063402224,Entire home/apt,395,2,61,2017-11-25,0.86,3,214
279209,Beautiful Light Filled Cottage in Central Ballard,601384,Eva,Ballard,Loyal Heights,47.68122540632333,-122.37971140243398,Entire home/apt,150,2,2,2016-06-26,0.09,1,0
281208,"Luxury, Location, Great For Family",658155,Joe,Central Area,Atlantic,47.59379732048903,-122.30514883618577,Entire home/apt,229,3,129,2018-05-05,1.70,16,41
281789,11th Avenue Inn Bed and Breakfast,31509,David,Capitol Hill,Broadway,47.619882824070686,-122.3196125641577,Private room,119,1,51,2018-02-27,0.67,6,0
282934,Seattle Sojourn in Fremont,781716,Andra,Other neighborhoods,Fremont,47.65758911115836,-122.35437619558947,Entire home/apt,119,4,88,2018-05-06,1.39,1,16
284087,The Nest in the Heart of the City,721070,Suzanne,Downtown,First Hill,47.611481116658794,-122.32912106367387,Entire home/apt,235,3,132,2018-04-30,1.74,1,266
284480,"Urban Chic, West Seattle Apartment",1481380,Ellen & Jim,Delridge,North Delridge,47.567830118042195,-122.37004568745931,Entire home/apt,129,2,0,,,1,0
286080,★SpringBreak City Getaway★Open 4/30-5/3,74305,Seattle Oasis,Downtown,Belltown,47.615232025540514,-122.3470274205939,Entire home/apt,144,2,67,2018-04-15,0.86,44,116
299817,Cap Hill Mountain/Lake View Oasis,1545026,Anna,Capitol Hill,Stevens,47.62387528653714,-122.30133479636105,Entire home/apt,125,7,8,2017-07-28,0.14,1,311
301059,★Belltown-Fantastic View!★Open 4/22-4/27!,74305,Seattle Oasis,Downtown,Belltown,47.61497282402782,-122.34855449678832,Entire home/apt,113,2,38,2018-04-08,0.51,44,109
311790,Eastlake Union-Fantastic Location,1204187,Kara,Cascade,Eastlake,47.646421319672854,-122.32495375092726,Private room,50,1,3,2017-06-08,0.05,1,0
314180,Sunny Home w/ Views in Wallingford,1224813,Cam,Other neighborhoods,Wallingford,47.65386101204191,-122.33849652099613,Entire home/apt,225,4,29,2017-12-06,0.38,2,104
317248,Vintage Capitol Hill - 2 Pkg Spots,658155,Joe,Capitol Hill,Broadway,47.62336215811369,-122.31667781615316,Entire home/apt,240,3,118,2018-05-15,1.64,16,45
319768,Family Friendly Modern Seattle Home,1577903,Jen,Central Area,Atlantic,47.59582907438037,-122.29788421687861,Entire home/apt,135,5,5,2013-12-28,0.07,1,0
320704,Mid-century Modern Apartment,83099,Cass,Other neighborhoods,Phinney Ridge,47.68066817964939,-122.35812669062354,Entire home/apt,109,3,103,2018-03-11,1.34,3,44
338090,"Artist unit, prime location",1717589,Jen,Capitol Hill,Broadway,47.614207695277436,-122.32407230044915,Entire home/apt,200,8,2,2017-09-06,0.18,4,327
338091,"spacious, great location w view",1717589,Jen,Capitol Hill,Broadway,47.61897138842802,-122.32420719122311,Entire home/apt,165,1,108,2018-04-29,1.46,4,351
340706,Charming Wallingford Apartment,1015653,David,Other neighborhoods,Wallingford,47.655884937674095,-122.33213596885538,Entire home/apt,90,2,170,2018-03-28,2.26,1,191
341454,"Cool 2BR Flat w/Private Balcony, City Views",1732181,William,Central Area,Minor,47.61037711716619,-122.31156583651604,Entire home/apt,175,3,33,2018-05-07,1.21,3,288
353039,St. John's Apt. 300 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.613674563916945,-122.32202827214266,Entire home/apt,155,3,41,2017-10-23,0.57,8,316
353110,West Seattle Backyard Vacation Cottage,1788284,Eric,West Seattle,North Admiral,47.580028809847256,-122.39025109179285,Entire home/apt,107,3,53,2018-01-28,0.71,1,290
356248,Beautiful 2B/1BA Apt with Amazing Water Views,306615,Tara,Capitol Hill,Portage Bay,47.650051607324926,-122.32110133068753,Entire home/apt,199,14,11,2017-09-28,0.55,3,239
356608,St. John's Apt. 309 *Walkscore 99*,1787819,Bryce,Downtown,First Hill,47.61304301054661,-122.32321421294104,Entire home/apt,196,3,89,2018-04-08,1.23,8,269
365550,contemporary art loft downtown [17],1025723,Dirk & Jaq,Downtown,International District,47.59901630438827,-122.32707987628241,Private room,99,5,692,2018-05-07,9.24,3,20
368403,Large Luxury Lakeside Seattle Home,4186078,Trung,Other neighborhoods,Green Lake,47.683544739522105,-122.33091114440992,Entire home/apt,450,4,18,2018-04-01,0.32,1,291
370361,Private Guest Studio- Phinney Ridge,1865986,Sheldon,Other neighborhoods,Greenwood,47.68348314871844,-122.35705388667768,Private room,85,3,166,2018-05-06,2.23,2,152
380950,4BR/2BA Craftsman Charmer w/ Stunning Sunset Views,287962,Ian,Other neighborhoods,Fremont,47.666229972015564,-122.36069690888976,Entire home/apt,400,1,25,2017-09-04,0.35,1,0
384797,The FUN HOUSE 2 - 6 room/10 bed/3 bath,50893,Chris,Capitol Hill,Broadway,47.62569810383052,-122.32095362196334,Entire home/apt,499,3,36,2018-04-23,0.49,1,295
385438,Luxury Condo with lake union views ,1929300,Arvind,Capitol Hill,Broadway,47.62836567900654,-122.32626046891215,Entire home/apt,175,4,4,2015-09-08,0.06,1,0
387078,Modern on Capitol Hill. LOCATION!,1121532,Allie,Capitol Hill,Broadway,47.62177825469548,-122.32378708881984,Entire home/apt,119,1,121,2018-03-20,1.84,6,305
387464,Backyard Studio Apartment near UW,1938802,Jason And Susy,Other neighborhoods,Ravenna,47.67675310398204,-122.29397184567455,Entire home/apt,93,2,197,2018-03-31,2.64,1,292
392140,Fantastic View-Close to Light Rail-Solar Powered!,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58513027441332,-122.31526144655827,Private room,72,2,204,2018-05-13,2.78,1,331
392779,2/1 Plush Modern Hilltop Retreat,437055,Jyoti And Tushar,Beacon Hill,North Beacon Hill,47.575769480485796,-122.31636208846803,Entire home/apt,120,3,114,2018-03-29,1.58,1,3
394408,Sweet home in the heart of Fremont,1971733,Caroline,Other neighborhoods,Fremont,47.65810701483653,-122.35738897716084,Entire home/apt,150,1,48,2016-12-13,0.66,1,136
397117,Great Space & Location + View!,391714,Lauren,Downtown,Central Business District,47.607274980640824,-122.33156445150713,Entire home/apt,115,1,442,2018-04-29,5.92,2,121
400876,Room available - Ballard Townhome!,1965064,Jessica,Ballard,Sunset Hill,47.689714710383846,-122.39711828037808,Private room,80,2,3,2017-06-25,0.04,1,307
408526,Chic 3 bed 4 bath Ballard townhome,2034501,Vivian,Ballard,Adams,47.67553326838632,-122.37632401407798,Entire home/apt,218,14,0,,,2,365
421168,Greenwood Studio,2094547,Samantha & Peter,Other neighborhoods,Greenwood,47.69921614825644,-122.3507160207942,Private room,71,1,324,2018-05-08,4.54,1,27
430609,Fresh & hip. 3br/2.5ba deck. bright. walk to all.,165390,Seth,Other neighborhoods,Fremont,47.65883131385418,-122.34796651322185,Entire home/apt,225,2,40,2018-03-26,0.99,7,132
430610,"3br/3ba. modern,super roof deck, garage.walkable.",165390,Seth,Other neighborhoods,Wallingford,47.654101565865275,-122.33851094420066,Entire home/apt,259,3,87,2017-10-23,1.24,7,193
443942,Stunning downtown flat top floor with internet,64955,Beb,Downtown,Belltown,47.615827760992865,-122.34077729895667,Entire home/apt,125,2,32,2017-09-04,0.60,1,348
445199,The Chandelier Room,2211872,Eliza,Delridge,North Delridge,47.5696575879365,-122.36171127747023,Private room,80,2,96,2017-08-13,1.33,1,166
